date,meaning,expression,answer,example,exampleKo
2026. 7. 7.,수분을 유지하는,hydrated,,"Experts recommend staying hydrated, steering clear of peak heat hours, and seeking out cool space to protect both physical and mental health. ","전문가들은 신체적, 정신적 건강을 보호하기 위해 수분을 계속 섭취하고, 가장 더운 시간대를 피하며, 시원한 공간을 적극적으로 찾을 것을 권고합니다,"
2026. 7. 7.,~에 심한 타격을 입히다,wreak havoc on,wreaked havoc on,"It wreaked havoc on the entire region - homes destroyed, power lines down everywhere.","전 지역을 초토화시켰어. 집들이 파괴되고, 곳곳에 전선이 내려앉았어."
2026. 7. 7.,"~을 피하다, ~을 멀리하다",steer clear of,,My doctor told me to steer clear of processed foods and sugar.,의사가 나에게 가공 식품과 설탕을 피하라고 했다. 
2026. 7. 7.,적극적으로 찾다,seek out,sought out,I actively sought out experts in my field and asked for guidance.,내 분야의 전문가들을 적극적으로 찾아가 조언을 구했어.
2026. 7. 7.,바가지 관광,tourist trap,,"I want the real deal, not a tourist trap.","난 진짜를 원해, 바가지 관광지 말고."
2026. 7. 7.,"진짜, 진품",the real deal,,"After trying many imitations, I finally tasted the real deal carbonara at a family-run Italian restaurant in Rome.","나는 흉내만 낸 까르보나라를 많이 먹어 본 후, 마침내 로마의 한 가족이 운영하는 이탈리안 레스토랑에서 진짜 까르보나라를 맛봤다."
2026. 7. 7.,~하기로 마음먹은,set on,,I’m set on becoming a chef no matter what it takes.,무슨 일이 있어도 셰프가 되기로 마음먹었어.
2026. 7. 7.,군중을 피하다,beat the crowds,,Let’s go Saturday morning to beat the crowds.,토요일 아침에 가서 혼잡을 피하자.
2026. 7. 14.,식은 죽 먹기,breeze,,Picking up the rental car was a breeze.,렌터카 픽업하는 것도 식은 죽 먹기였어.
2026. 7. 14.,"시작하다, 개시하다",kick things off,,The keynotes speaker will kick things off at 9AM sharp.,기조연설자가 정확히 오전 9시에 시작할 거야.
2026. 7. 14.,"~을 탐색하다, ~을 살펴보다",scope out,scoped out,"Before signing the lease, we scoped out the neighborhood to check safety and amenities.",임대차 계약서에 서명하기 전에 우리는 안전과 편의 시설을 확인하려고 동네를 살펴봤다.
2026. 7. 14.,"(관련된) 모든 것, 전부다",the works,,"She ordered a spa day with the works: massage, facial, manicure and pedicure.","그녀는 마사지, 페이셜 관리, 매니큐어, 패디큐어까지 풀 패키지로 스파 서비스를 주문했다."
2026. 7. 14.,"혹독한, 끔찍한",brutal,,Work was brutal today because I’m so exhausted.,너무 진이 빠져서 오늘은 일도 진짜 힘들었어.
2026. 7. 14.,(잠을 못 자고) 뒤척이다,toss and turn,tossed and turned,I just tossed and turned all night worrying about the exam.,시험 걱정에 밤새 뒤척였을 뿐이야.
2026. 7. 14.,땀에 흠뻑 젖은,drenched in sweat,,I was drenched in sweat by the end.,끝날 무렵엔 땀에 흠뻑 젖었어.
2026. 7. 14.,(어려운 상황 등을) 견뎌 내다,get through,,We’ll get through it together.,우린 함께 헤쳐 나갈 거야.
2026. 7. 14.,김 서림 방지의,anti-fog,,Get anti-fog ones.,김 서림 방지 제품을 사.
2026. 7. 14.,"너무나도, 지나치게",way too,,This suitcase is way too heavy for me.,이 여향 가방은 나에게 너무 무겁다.
2026. 7. 14.,"수리할 수 없는, 구제불능의",beyond saving,,"After the flood, most of the furniture was beyond saving.",홍수가 난 후에 가구 대부분이 손을 쓸 수 없게 됐다.
2026. 7. 14.,~을 지나치게 아끼다,skimp on,,I never skimp on car repairs. Safety comes first.,난 차 수리는 절대 아끼지 않아. 안전이 우선이니까.
2026. 7. 14.,~을 줄이다(절감하다),cut back on,,I cut back on sugar and started exercising more.,설탕을 줄이고 운동을 더 많이 하기 시작했어.
2026. 7. 14.,~을 선택하다,opt for,opted for,I opted for the monthly subscription. It’s more flexible.,월간 구독으로 선택했어. 그게 더 유연하니까.
2026. 7. 14.,어떻게든 잘 해내다,make it work,,"We’ll have to get creative and make it work somehow,",창의적으로 생각해서 어떻게든 해내야 할 거야.
2026. 7. 14.,"만질 수 있는, 실재하는",tangible,,People want something tangible they can hold again.,사람들이 다시 손에 잡히는 실체가 있는 것을 원하고 있다.
2026. 7. 14.,"트랜드를 이끌다, 유행을 주도하다",drive the trend,driving the trend,Tech-savvy young professionals are driving the trend.,기술에 정통한 젊은 전문가들이 트렌드를 이끌고 있어.
2026. 7. 14.,"~에 질린, ~이 지긋지긋한",fed up with,,I was fed up with the long hours and low pay.,긴 근무 시간과 낮은 급여에 질렸어.
2026. 7. 14.,"유행하다, 인기를 얻다",catch on,caught on,The minimalist lifestyle trend caught on quickly among millennials.,미니멀리스트 라이프 스타일 트랜드가 밀레니얼 세대 사이에서 빠르게 유행했다.
2026. 7. 14.,"푸짐한, 넉넉한",generous,,Toppings are generous.,토핑이 푸짐하다.
2026. 7. 14.,망설이지 않고 하다,go for it,,I decided to go for it despite my fears.,두려움에도 불구하고 해 보기로 결심했다.
2026. 7. 14.,"~에 집착하다, ~에 매달리다",obsess over,obsessing over,He is obsessing over the exam results.,그는 시험 결과에 집착하고 있어. 
2026. 7. 14.,"큰 차이를 만들다, 결정적인 요인이다",make all the difference,makes all the difference,It makes all the difference in how the dish tastes.,요리 맛을 결정 짓는 중요한 요소야.
